Samples,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,TICOR_RunTime_Percent
10,94.682249000000027,7.0350106501824712,60.234189000000022,6.2004459391418951,32.72068500000001,7.8028526612778686,32.414653000000001,7.7228381362866756,63.617192912263846,34.558415485039866,34.23519544830414
15,143.67260899999999,7.8950090370416124,77.629537999999982,9.3449935553563943,48.475458999999994,12.84878453737543,46.972717999999986,11.827392715144727,54.032246327481943,33.740223232112385,32.694275079253266
20,192.74406199999999,11.1232956865245,92.126064999999983,11.827654498830785,59.047397000000018,14.602530888617263,56.275318999999982,13.60106267866704,47.797096338044376,30.635131576712347,29.196914507280638
30,298.29410500000012,11.651139112414873,110.96020800000004,14.873732524081341,87.61282999999996,17.890691101085068,77.823215000000005,16.06701598893088,37.198257069143217,29.371291128934622,26.089424395430132
50,513.87286000000006,11.848351338050993,150.59708499999999,14.583690723085333,127.17839999999998,14.527827612804623,101.59630000000001,14.867384607111955,29.306292805578401,24.749001143979459,19.770707485894469
70,724.633825,12.401924305266194,186.64245,18.214380788281723,150.39071499999997,14.073305541203851,110.47189999999998,17.082843197073185,25.756795164785469,20.754029112565917,15.245203327349502
100,1039.12581,11.390175077943727,223.39574499999998,18.369605057682559,171.21948999999998,12.872515251573796,106.665515,16.916519156738172,21.498430974397603,16.477262748386547,10.264927882024217
150,1552.0385150000002,14.388167931188429,290.96954999999997,17.269453350093414,212.19220499999997,16.464087022539797,112.09701500000001,17.436183785005824,18.747572768836857,13.671838871859435,7.2225665740002594
200,2062.8437899999999,22.836198570079702,380.31657000000001,22.761544200449141,261.50622000000004,27.54597776682953,134.81880000000001,22.36745122086506,18.436518162143532,12.676976379292396,6.5355797008749761
300,3099.6219700000001,15.138496788874948,501.57589999999999,17.782150492371091,325.46723000000003,19.6610596478335,132.19355999999999,17.710859724235736,16.181841039150974,10.500223354656374,4.2648284622914838
500,5128.3834299999999,23.11052494793228,801.76088000000004,18.578364514539789,483.25523000000004,19.599753214889091,170.52828,18.667078261402704,15.633793590975705,9.4231493529336205,3.3251858471120599
700,7532.9695900000006,79.946840509365174,1095.1657900000002,21.947382435140934,637.56343000000004,31.956358261334735,191.71605999999997,18.963573225540703,14.538300957086436,8.4636400344210063,2.5450263366853703
1000,11448.221610000001,76.782212585619305,1602.80917,22.569878031967523,902.61123000000009,22.650334500107881,263.14015000000001,17.654763933174269,14.000507891985153,7.8842920826372787,2.2985242508770756
