Samples,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,COR_RunTime_Avg,COR_RunTime_Sigma,DP_RunTime_Avg,DP_RunTime_Sigma,TICOR_RunTime_Avg,TICOR_RunTime_Sigma,TICORDP_RunTime_Avg,TICORDP_RunTime_Sigma,TI_RunTime_Percent,COR_RunTime_Percent,DP_RunTime_Percent,TICOR_RunTime_Percent,TICORDP_RunTime_Percent
10,63.667506000000024,6.6740041962285854,40.489956999999997,4.7740173381440503,22.494499999999984,5.4307383220354337,55.01829399999999,5.8861546356438099,22.337981000000003,5.4597773205913276,25.354575999999998,5.307573172632905,63.595952698382717,35.331209612639725,86.415029355790949,35.085371492327653,39.823416359359179
15,95.447977000000009,5.9022085466246876,51.936881999999997,6.4264886996039587,31.757273999999992,7.5473010100222462,81.951325000000011,4.9946905331253424,31.350979999999989,7.5080326667543558,34.044128000000001,7.1719600184664172,54.413811201048283,33.271814655642196,85.859677256438871,32.846144030899666,35.667731333897208
20,125.53298800000006,5.9102198804279755,60.595340999999991,6.9285582503507932,40.981274999999997,9.8749805880425487,107.58648500000001,5.1360682171666001,39.412779,9.4493553349805968,41.936607999999985,8.9476955057135044,48.270452225673111,32.645821351754947,85.703755414473179,31.39635216840372,33.406842829233035
30,190.82516699999996,5.7949433022222658,71.79477500000003,9.2983248236842329,59.156860999999999,11.595712909945545,164.12002800000005,5.005986422599296,53.806615000000001,10.66803460177751,55.637816999999977,10.286553684851125,37.623326172695052,31.000555078775331,86.005441829378867,28.196812740114101,29.156435639330521
50,319.872255,6.6914364266634703,87.496319999999997,14.865355081516853,74.35745,14.613011026172964,279.61185499999999,5.1873943766012944,59.376079999999988,14.136062755184922,60.643990000000009,13.430939141278872,27.353519610508261,23.245982994054923,87.413600469975123,18.562435182132312,18.958815293311392
70,446.89756499999993,8.0798837994689627,105.27490500000003,15.01708077099558,94.646895000000001,14.120357640933477,396.01345999999995,10.058535495022699,67.144324999999995,14.518791863174574,68.366375000000005,13.944076359888262,23.556831194638541,21.17865533682199,88.613922074066352,15.02454483053628,15.297996756818314
100,631.43399000000011,8.4599126724931537,135.53885499999998,16.352980552228171,114.92453,14.816154088593549,563.55435,10.013757724960719,75.701415000000011,15.702742757582698,76.797345000000007,14.606316287878771,21.46524532200111,18.200561233645342,89.249923020456961,11.988808996487503,12.162371081734133
150,937.57918999999981,13.524191721733702,171.20323500000001,14.890344757532787,137.92645999999996,15.346076188407936,836.318355,9.0708359609809985,75.427409999999995,16.707622277867511,76.733765000000005,15.648249380623511,18.260135978487327,14.710913112310012,89.199756556030238,8.0449108517436283,8.1842436157312761
200,1247.5663300000001,15.008874036534342,215.81450000000001,11.612915246684045,172.04837000000003,16.100808595088218,1127.41498,19.454908251007257,84.866139999999987,11.163087189403395,86.225449999999995,10.304866188278881,17.298839733836036,13.790719247769376,90.369141334553333,6.8025353008685308,6.9114922330422299
300,1858.2783599999998,25.326049294800551,294.86787000000004,15.484038295688029,216.20643000000001,19.59796249993861,1696.7769899999998,25.338711412577542,87.976530000000011,14.831322988043471,88.267210000000006,15.240871674579509,15.867798729572467,11.634770906980805,91.30908622322869,4.7343030997788738,4.7499455356085631
500,3113.7229099999995,17.075324730567601,457.11432000000002,6.0886484329082045,316.56820000000005,21.809414442238776,2764.8617300000001,46.512238518672504,103.37159,7.9673996475150055,103.40254999999999,7.651430024257631,14.680635792348012,10.166871271149818,88.796010753570897,3.3198711956035938,3.3208655037323154
700,4639.9259399999992,37.561965827540824,648.67240000000004,21.130146876178806,427.40385000000003,16.354854032179233,3935.7892300000008,46.963171067338642,131.76313999999999,17.476783549370737,131.49827999999997,15.338800575070325,13.980231762061274,9.2114368963397748,84.824397649760797,2.8397681709549012,2.8340598901886778
1000,7231.0159599999997,163.48945845561198,948.30779000000007,20.263637100396277,590.32949999999994,20.227740021070066,5971.7347399999999,101.204758623904,162.79645999999997,15.373680579136975,159.92213000000001,16.729129614540952,13.114447475234174,8.1638528149507774,82.585002896328831,2.2513635829397338,2.2116135669544286
